baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
17119.52024,-0.266835611,0.284692942,-0.937275121,0.348617057,0.602674586,ENO1
4706.550818,-0.529772622,0.327681964,-1.616728051,0.105936996,0.276062418,MTATP6P1
5193.607288,0.435464488,0.122705039,3.548872081,0.000386885,0.004651413,CLSTN1
22753.90097,0.364604129,0.345000082,1.056823311,0.290592234,0.543191843,CLIC4
3902.85062,-0.189354909,0.149950316,-1.262784326,0.206666699,0.427057359,CAPZB
3496.212976,-2.022550695,0.9139032,-2.213090724,0.026891391,0.109427278,WLS
7344.91347,-0.182626007,0.181861418,-1.00420424,0.315280179,0.569225989,GNG12
4148.945566,0.217707717,0.107093375,2.032877533,0.042064897,0.148348871,JAK1
3647.427185,0.058683529,0.228131582,0.257235444,0.796997024,0.9119504,CNN3
5778.113118,0.299052329,0.260847476,1.146464339,0.251603074,0.497953159,NOTCH2
5885.060115,-0.589775581,0.109099036,-5.405873418,6.45E-08,3.79E-06,TPM3
24595.81669,-0.014054011,0.150016879,-0.093682862,0.925361084,0.963863423,LAMC1
6552.692141,0.025958604,0.227654968,0.114026081,0.909217119,0.963863423,S100A11
10769.87567,0.302219086,0.145005936,2.084184232,0.037143413,0.137404652,QSOX1
4386.716224,-0.064024491,0.162086996,-0.395000788,0.692842306,0.870141044,COPA
4478.861149,0.304760586,0.458488526,0.664707117,0.506237841,0.733698131,CFH
3850.968958,-0.126109581,0.355388487,-0.354849934,0.722702018,0.876701457,CSRP1
3925.500543,-0.346173011,0.309675557,-1.117857068,0.263628043,0.512717775,PRRX1
3494.975841,-0.184617314,0.603148979,-0.306089077,0.759536824,0.894037116,ENAH
11266.91695,-0.182398443,0.299346338,-0.609322446,0.542310732,0.75214876,CAPN2
3781.544353,0.578035967,0.253099903,2.283825321,0.022381799,0.093386324,GALNT2
6640.129187,0.399016556,0.425271818,0.938262398,0.348109578,0.602674586,DDR2
3726.032412,0.10811119,0.366453516,0.295020201,0.767978448,0.900799554,UAP1
5712.385894,0.63075415,0.291119651,2.166649167,0.030261615,0.117708783,NEK7
3915.07255,-0.142193415,0.215466744,-0.659932072,0.509297422,0.736115673,EPRS1
5167.887897,0.201548112,0.186264827,1.082051376,0.2792297,0.531339968,NAV1
3859.530848,-0.774713335,0.26327867,-2.9425602,0.003255105,0.021796842,NUCKS1
4705.589496,0.460643397,0.6508869,0.707716498,0.47912133,0.715584257,ADGRL2
5555.166686,-0.641476302,0.228318416,-2.80956882,0.004960791,0.030163891,HNRNPU
6178.799073,-0.402151701,0.120488521,-3.337676461,0.000844821,0.008432266,RPL11
4393.968008,0.071233548,0.26581211,0.267984586,0.788711184,0.909183821,SHC1
5742.600427,-0.089497262,0.191927284,-0.466308178,0.640994926,0.83518797,TAGLN2
6887.451318,0.63777837,0.205787397,3.099210059,0.001940374,0.015320266,PEA15
4324.769686,0.197936896,0.106260855,1.862745178,0.062498126,0.19563023,DDOST
9407.664871,0.732612084,0.186694035,3.924132259,8.70E-05,0.001534857,PLOD1
6441.834345,-0.466337787,0.15007282,-3.107410036,0.001887344,0.015320266,RPS8
7242.346104,0.917206034,0.30876789,2.970535675,0.002972809,0.021192717,CCN1
5678.676248,0.186450945,0.32905416,0.566626919,0.570967682,0.766603817,MXRA8
9623.311437,0.328487488,0.482254354,0.681149866,0.495776667,0.725115514,ATP2B4
7662.350745,-0.06484,0.17807816,-0.364109783,0.715776032,0.876701457,GNB1
7142.613571,0.013335318,0.2319121,0.057501603,0.954145629,0.970659688,SH3BGRL3
3921.07649,1.386311664,0.395277823,3.507183004,0.000452878,0.005208092,ECM1
